order	id	status	commit
1	phase-4-2-java-decision-unresolved-early-return	implemented	2b1b756
2	phase-4-2-1-java-block-throw-with-pre-statements	implemented	79635bd
3	phase-4-2-2-java-single-line-if-throw	implemented	07f6398
4	phase-4-3-java-if-else-decision-shape	implemented	cb487f1
5	harness-0-4-1-runner-prompt-output-path	implemented	5c19a2e
6	phase-4-3-1-java-mixed-throw-return-if-else	implemented	ef4bb6f
7	phase-4-4-java-method-local-decision-calls	implemented	01d5ee1
8	phase-4-5-java-else-if-nested-decision-shape	next	TBD
9	phase-4-6-java-boolean-condition-expression-trace	planned	TBD
10	phase-4-7-java-ternary-decision-trace	planned	TBD
11	phase-4-8-java-switch-statement-expression-decision-trace	planned	TBD
12	phase-4-9-java-optional-decision-trace	planned	TBD
13	phase-4-10-java-stream-filter-match-decision-trace	planned	TBD
14	phase-4-11-decision-trace-closeout-contract-and-examples	planned	TBD
